doc_id,may_doc_title,apr_doc_title,dec_doc_title,distance_dec_to_apr,distance_may_to_apr
frus1969-76ve04d206,206. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,206. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"206. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, June                             23, 1972  ",55,0
frus1969-76ve04d207,207. Intelligence Note RECN–15 Prepared in the Bureau of Intelligence                             and Research  ,207. Intelligence Note RECN–15 Prepared in the Bureau of Intelligence                             and Research  ,"207. Intelligence Note RECN–15, Prepared by the Bureau of Intelligence                             and Research, Washington, June 27, 1972  ",30,0
frus1969-76ve04d208,208. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,208. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"208. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, June                             28, 1972  ",55,0
frus1969-76ve04d209,209. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Former Secretary of the Treasury                                 (Connally)  ,209. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Former Secretary of the Treasury                                 (Connally)  ,"209. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Embassy in Singapore for Former                             Secretary of the Treasury (Connally),                             Washington, June 29, 1972  ",86,0
frus1969-76ve04d210,210. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,210. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon  ,"210. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to President Nixon,                             Washington, undated  ",49,0
frus1969-76ve04d211,211. Memorandum From Harold                                 Saunders of the National Security Council Staff to                             President Nixon  ,211. Memorandum From Harold                                 Saunders of the National Security Council Staff to                             President Nixon  ,"211. Memorandum From Harold                                 Saunders of the National Security Council Staff to                             President Nixon,                             Washington, July 12, 1972  ",55,0
frus1969-76ve04d212,212. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,212. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"212. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, July                             14, 1972  ",55,0
frus1969-76ve04d213,213. Telegram 4274 From the Embassy in Iran                             to the Department of State  ,213. Telegram 4274 From the Embassy in Iran                             to the Department of State  ,"213. Telegram 4274 From the Embassy in Iran                             to the Department of State, July 15, 1972,                                 1112Z  ",54,0
frus1969-76ve04d214,214. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird  ,214. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird  ,"214. Memorandum From the President’s Assistant for National Security                             Affairs (Kissinger)                             to Secretary of State Rogers and Secretary of Defense Laird, Washington, July                             25, 1972  ",55,0
frus1969-76ve04d215,215. Paper Prepared in the Department of State  ,215. Paper Prepared in the Department of State  ,"215. Paper Prepared in the Department of State, Undated.  ",10,0
frus1969-76ve04d216,216. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,216. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"216. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington,                             August 2, 1972  ",56,0
frus1969-76ve04d217,217. Telegram 4789 From the Embassy in Iran                             to the Department of State  ,217. Telegram 4789 From the Embassy in Iran                             to the Department of State  ,"217. Telegram 4789 From the Embassy in Iran                             to the Department of State, August 10, 1972,                                 0400Z  ",56,0
frus1969-76ve04d218,218. Telegram 5055 From the Embassy in Iran                             to the Department of State  ,218. Telegram 5055 From the Embassy in Iran                             to the Department of State  ,"218. Telegram 5055 From the Embassy in Iran                             to the Department of State, August 22, 1972,                                 0927Z  ",56,0
frus1969-76ve04d219,219. Telegram 161337 From the Department of                                 State to the Embassy in Iran  ,219. Telegram 161337 From the Department of                                 State to the Embassy in Iran  ,"219. Telegram 161337 From the Department of                                 State to the Embassy in Tehran,                             September 5, 1972, 1644Z  ",57,0
frus1969-76ve04d220,220. Airgram 151 From the Embassy in Iran                             to the Department of State  ,220. Airgram 151 From the Embassy in Iran                             to the Department of State  ,"220. Airgram 151 From the Embassy in Iran                             to the Department of State, September 9, 1972  ",19,0
frus1969-76ve04d221,221. Memorandum From the Vice Admiral of the Navy (Peet) to Secretary of                             Defense Laird  ,221. Memorandum From the Vice Admiral of the Navy (Peet) to Secretary of                             Defense Laird  ,"221. Memorandum From the Vice Admiral of the Navy (Peet) to Secretary                                 Laird, Washington,                             September 19, 1972  ",63,0
frus1969-76ve04d222,222. Telegram 6127 From the Embassy in Iran                             to the Department of State  ,222. Telegram 6127 From the Embassy in Iran                             to the Department of State  ,"222. Telegram 6127 From the Embassy in Iran                             to the Department of State, October 10, 1972,                                 1320Z  ",57,0
frus1969-76ve04d223,223. Telegram 6166 From the Embassy in Iran                             to the Department of State  ,223. Telegram 6166 From the Embassy in Iran                             to the Department of State  ,"223. Telegram 6166 From the Embassy in Iran                             to the Department of State, October 12, 1972,                                 0750Z  ",57,0
frus1969-76ve04d224,224. Telegram 192358 From the Department of                                 State to the Embassy in Iran  ,224. Telegram 192358 From the Department of                                 State to the Embassy in Iran  ,"224. Telegram 192358 From the Department of                                 State to the Embassy in Iran,                             October 20, 1972, 2246Z  ",53,0
frus1969-76ve04d225,225. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                                 Files  ,225. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                                 Files  ,"225. Memorandum From Harold                                 Saunders of the National Security Council Staff for the                             Files, Washington, October 20, 1972  ",32,0
frus1969-76ve04d226,226. Telegram 6317 From the Embassy in Iran                             to the Department of State  ,226. Telegram 6317 From the Embassy in Iran                             to the Department of State  ,"226. Telegram 6317 From the Embassy in Iran                             to the Department of State, October 21, 1972,                                 1520Z  ",57,0
frus1969-76ve04d227,227. Telegram 6346 From the Embassy in Iran                             to the Department of State  ,227. Telegram 6346 From the Embassy in Iran                             to the Department of State  ,"227. Telegram 6346 From the Embassy in Iran                             to the Department of State, October 24, 1972,                                 0553Z  ",57,0
frus1969-76ve04d228,228. Telegram 6417 From the Embassy in Iran                             to the Department of State  ,228. Telegram 6417 From the Embassy in Iran                             to the Department of State  ,"228. Telegram 6417 From the Embassy in Iran                             to the Department of State, October 27, 1972,                                 1355Z  ",57,0
frus1969-76ve04d229,229. Telegram 196855 From the Department of                                 State to the Embassy in Iran  ,229. Telegram 196855 From the Department of                                 State to the Embassy in Iran  ,"229. Telegram 196855 From the Department of                                 State to the Embassy in Iran,                             October 30, 1972, 2115Z  ",53,0
frus1969-76ve04d230,230. Letter From the Embassy in Iran to the                             Country Director for Iran (Miklos)  ,230. Letter From the Embassy in Iran to the                             Country Director for Iran (Miklos)  ,"230. Letter From the Embassy in Iran to the                             Country Director for Iran (Miklos), October 30, 1972  ",18,0
frus1969-76ve04d231,231. Telegram 6520 From the Embassy in Iran                             to the Department of State  ,231. Telegram 6520 From the Embassy in Iran                             to the Department of State  ,"231. Telegram 6520 From the Embassy in Iran                             to the Department of State, October 31, 1972,                                 1345Z  ",57,0
frus1969-76ve04d232,232. Telegram 6611 From the Embassy in Iran                             to the Department of State  ,232. Telegram 6611 From the Embassy in Iran                             to the Department of State  ,"232. Telegram 6611 From the Embassy in Iran                             to the Department of State, November 4, 1972,                                 1405Z  ",57,0
frus1969-76ve04d233,233. Telegram 6687 From the Embassy in Iran                             to the Department of State  ,233. Telegram 6687 From the Embassy in Iran                             to the Department of State  ,"233. Telegram 6687 From the Embassy in Iran                             to the Department of State, November 7, 1972,                                 1315Z  ",57,0
frus1969-76ve04d234,234. Telegram 210666 From the Department of                                 State to the Embassy in Iran  ,234. Telegram 210666 From the Department of                                 State to the Embassy in Iran  ,"234. Telegram 210666 From the Department of                                 State to the Embassy in Iran,                             November 18, 1972, 1948Z  ",54,0
frus1969-76ve04d235,235. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Ambassador to Iran (Farland)  ,235. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Ambassador to Iran (Farland)  ,"235. Backchannel Message From the President’s Assistant for National                             Security Affairs (Kissinger) to the Ambassador to Iran (Farland), Washington,                             November 21, 1972  ",59,0
frus1969-76ve04d236,236. Telegram 7008 From the Ambassador in Iran (Farland) to the Under Secretary of                             State (Johnson)  ,236. Telegram 7008 From the Ambassador in Iran (Farland) to the Under Secretary of                             State (Johnson)  ,"236. Telegram 7008 From the Ambassador in Iran (Farland) to the Undersecretary of State                                 (Johnson), November 22, 1972,                             1130Z   ",67,0
frus1969-76ve04d237,237. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,237. Memorandum From Harold                                 Saunders of the National Security Council Staff to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"237. Memorandum From Harold                                 Saunders of the National Security Staff to the                             President’s Assistant for National Security Affairs (Kissinger), Washington,                             December 1, 1972  ",66,0
frus1969-76ve04d238,238. Telegram 219119 From the Department of                                 State to the Embassy in Iran  ,238. Telegram 219119 From the Department of                                 State to the Embassy in Iran  ,"238. Telegram 219119 From the Department of                                 State to the Embassy in Iran,                             December 4, 1972, 1842Z  ",53,0
frus1969-76ve04d239,239. Intelligence Note RECN–36 Prepared in the Bureau of Intelligence                             and Research  ,239. Intelligence Note RECN–36 Prepared in the Bureau of Intelligence                             and Research  ,"239. Intelligence Note RECN–36, Prepared in the Bureau of Intelligence                             and Research, Washington, December 6, 1972  ",31,0
frus1969-76ve04d240,240. Telegram 7389 From the Embassy in Iran                             to the Department of State  ,240. Telegram 7389 From the Embassy in Iran                             to the Department of State  ,"240. Telegram 7389 From the Embassy in Iran                             to the Department of State, December 9, 1972,                                 1237Z  ",57,0
frus1969-76ve04d241,241. Telegram 7769 From the Embassy in Iran                             to the Department of State  ,241. Telegram 7769 From the Embassy in Iran                             to the Department of State  ,"241. Telegram 7769 From the Embassy in Iran                             to the Department of State, December 27, 1972,                                 1318Z  ",58,0
frus1969-76ve04d242,242. Telegram 7770 From the Embassy in Iran                             to the Department of State  ,242. Telegram 7770 From the Embassy in Iran                             to the Department of State  ,"242. Telegram 7770 From the Embassy in Iran                             to the Department of State, December 27, 1972,                                 1338Z  ",58,0
frus1969-76ve04d243,243. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,243. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird  ,"243. Memorandum From the Assistant Secretary of Defense for                             International Security Affairs (Nutter) to Secretary of Defense Laird, Washington, December                             28, 1972  ",59,0
frus1969-76ve04d244,244. Telegram 321 From the Embassy in                                 Israel to the Department of                                 State  ,244. Telegram 321 From the Embassy in                                 Israel to the Department of                                 State  ,"244. Telegram 321 From the Embassy in                                 Israel to the Department of State,                             January 27, 1969, 1552Z  ",26,0
frus1969-76ve04d245,245. Telegram 333 From the Embassy in                                 Israel to the Department of                                 State  ,245. Telegram 333 From the Embassy in                                 Israel to the Department of                                 State  ,"245. Telegram 333 From the Embassy in                                 Israel to the Department of State,                             January 28, 1969, 1300Z  ",26,0
frus1969-76ve04d246,246. Telegram 14051 From the Department of                                 State to the Mission to the United                                 Nations  ,246. Telegram 14051 From the Department of                                 State to the Mission to the United                                 Nations  ,"246. Telegram 14051 From the Department of                                 State to the Mission to the United                                 Nations, January 29, 1969, 1633Z  ",25,0
frus1969-76ve04d247,247. Memorandum From the Under Secretary of State (Richardson) to President                                 Nixon  ,247. Memorandum From the Under Secretary of State (Richardson) to President                                 Nixon  ,"247. Memorandum From the Under Secretary of State (Richardson) to President                                 Nixon, Washington,                             January 31, 1969  ",58,0
frus1969-76ve04d249,249. Memorandum From Secretary of State Rogers to President Nixon  ,249. Memorandum From Secretary of State Rogers to President Nixon  ,"249. Memorandum From Secretary Rogers to President Nixon, Washington, February 1, 1969  ",39,0
frus1969-76ve04d250,250. Memorandum From John M. Leddy of                             the Bureau of European Affairs to Secretary of State Rogers  ,250. Memorandum From John M. Leddy of                             the Bureau of European Affairs to Secretary of State Rogers  ,"250. Memorandum From John M. Leddy of                             the European Bureau to Secretary of State Rogers, Washington, February 7, 1969  ",47,0
frus1969-76ve04d251,251. Research Memorandum RNA–6 From the Director of the Bureau of                             Intelligence and Research (Hughes) to Secretary of State Rogers  ,251. Research Memorandum RNA–6 From the Director of the Bureau of                             Intelligence and Research (Hughes) to Secretary of State Rogers  ,"251. Research Memorandum RNA–6 From the Director of the Bureau of                             Intelligence and Research (Hughes) to Secretary Rogers, Washington, February 14, 1969  ",32,0
frus1969-76ve04d252,252. Research Memorandum RNA–10 From the Acting Director of the Bureau                             of Intelligence and Research (Denney) to the Acting Secretary of State (Johnson)  ,252. Research Memorandum RNA–10 From the Acting Director of the Bureau                             of Intelligence and Research (Denney) to the Acting Secretary of State (Johnson)  ,"252. Research Memorandum RNA–10 From the Acting Director of the Bureau                             of Intelligence and Research (Denney) to the Acting Secretary of State (Johnson), February 27,                                 1969  ",51,0
frus1969-76ve04d253,253. Telegram 1474 From the Embassy in                                 Belgium to the Department of                                 State  ,253. Telegram 1474 From the Embassy in                                 Belgium to the Department of                                 State  ,"253. Telegram 1474 From the Embassy in                                 Belgium to the Department of State,                             March 6, 1969, 1742Z  ",23,0
frus1969-76ve04d254,"254. Memorandum From Bryan H. Baas,                             Office of Lebanon, Jordan, Syrian Arab Republic, and Iraq Affairs,                             Bureau of Near Eastern and South Asian Affairs to the Deputy Assistant                             Secretary of State for Near Eastern and South Asian Affairs (Davies)  ","254. Memorandum From Bryan H. Baas,                             Office of Lebanon, Jordan, Syrian Arab Republic, and Iraq Affairs,                             Bureau of Near Eastern and South Asian Affairs to the Deputy Assistant                             Secretary of State for Near Eastern and South Asian Affairs (Davies)  ","254. Memorandum From Bryan H. Baas,                             NEA/ARN, to the Deputy Assistant Secretary for Near Eastern and South                             Asian Affairs (Davies),                             March 13, 1969  ",174,0
frus1969-76ve04d255,255. Memorandum from William J.                                 Handley of the Bureau of Near Eastern and South Asian                             Affairs to the Assistant Secretary of State for Near Eastern and South                             Asia Affairs (Sisco)  ,255. Memorandum from William J.                                 Handley of the Bureau of Near Eastern and South Asian                             Affairs to the Assistant Secretary of State for Near Eastern and South                             Asia Affairs (Sisco)  ,"255. Memorandum from William J.                                 Handley of the Bureau of Near Eastern and South Asian                             Affairs to the Assistant Secretary of Near Eastern and South Asia                             Affairs (Sisco), March                             18, 1969  ",62,0
frus1969-76ve04d256,256. Memorandum of Conversation  ,256. Memorandum of Conversation  ,"256. Memorandum of Conversation, March 20, 1969  ",16,0
frus1969-76ve04d257,257. Letter from the Assistant Secretary of State for Congressional                             Relations (Macomber)                             to the Chairman of the House Foreign Affairs Committee (Morgan)  ,257. Letter from the Assistant Secretary of State for Congressional                             Relations (Macomber)                             to the Chairman of the House Foreign Affairs Committee (Morgan)  ,"257. Letter from the Assistant Secretary of State for Congressional                             Relations (Macomber)                             to the Chairman of the House Foreign Affairs Committee (Morgan), April 3, 1969  ",15,0
frus1969-76ve04d258,258. Memorandum of Conversation  ,258. Memorandum of Conversation  ,"258. Memorandum of Conversation, Washington, May 29, 1969  ",26,0
frus1969-76ve04d259,259. Memorandum of Conversation  ,259. Memorandum of Conversation  ,"259. Memorandum of Conversation, June 13, 1969  ",15,0
frus1969-76ve04d260,260. Memorandum of Conversation  ,260. Memorandum of Conversation  ,"260. Memorandum of Conversation, July 17, 1969  ",15,0
frus1969-76ve04d261,261. Airgram 386 From the Embassy in                                 Lebanon to the Department of                                 State  ,261. Airgram 386 From the Embassy in                                 Lebanon to the Department of                                 State  ,"261. Airgram 386 From the Embassy in                                 Lebanon to the Department of State,                             September 22, 1969  ",21,0
frus1969-76ve04d262,262. Memorandum of Conversation  ,262. Memorandum of Conversation  ,"262. Memorandum of Conversation, Washington, October 15, 1969  ",30,0
frus1969-76ve04d263,263. Telegram 10069 From the Embassy in                                 Lebanon to the Department of                                 State  ,263. Telegram 10069 From the Embassy in                                 Lebanon to the Department of                                 State  ,"263. Telegram 10069 From the Embassy in                                 Lebanon to the Department of State,                             December 8, 1969, 1749Z  ",26,0
frus1969-76ve04d264,264. Telegram 204979 From the Department of                                 State to the Embassy in                                 Lebanon  ,264. Telegram 204979 From the Department of                                 State to the Embassy in                                 Lebanon  ,"264. Telegram 204979 From the Department of                                 State to the Embassy in Lebanon,                             December 10, 1969, 1615Z  ",30,0
frus1969-76ve04d265,265. Telegram 598 From the Embassy in the United                                 Kingdom to the Department of                                 State  ,265. Telegram 598 From the Embassy in the United                                 Kingdom to the Department of                                 State  ,"265. Telegram 598 From the Embassy in the United                                 Kingdom to the Department of State,                             January 23, 1970, 1525Z  ",26,0
frus1969-76ve04d266,266. Telegram 269 From the Embassy in Iran                             to the Department of State  ,266. Telegram 269 From the Embassy in Iran                             to the Department of State  ,"266. Telegram 269 From the Embassy in Iran                             to the Department of State, January 24, 1970,                                 1100Z  ",57,0
frus1969-76ve04d267,267. Central Intelligence Agency Information Cable TDCS                                 DB–315/01044–70  ,267. Central Intelligence Agency Information Cable TDCS                                 DB–315/01044–70  ,"267. Central Intelligence Agency Information Cable TDCS                             DB–315/01044–70, Washington, March 9, 1970  ",31,0
frus1969-76ve04d268,268. Telegram 37806 From the Department of                                 State to the Embassy in Iran  ,268. Telegram 37806 From the Department of                                 State to the Embassy in Iran  ,"268. Telegram 37806 From the Department of                                 State to the Embassy in Iran, March                             14, 1970, 0039Z  ",51,0
frus1969-76ve04d269,269. Telegram 54598 From the Department of                                 State to the Embassy in Israel  ,269. Telegram 54598 From the Department of                                 State to the Embassy in Israel  ,"269. Telegram 54598 From the Department of                                 State to the Embassy in Israel,                             April 14, 1970, 0109Z  ",51,0
frus1969-76ve04d270,270. Airgram 295 From the Embassy in                                 Lebanon to the Department of                                 State ,270. Airgram 295 From the Embassy in                                 Lebanon to the Department of                                 State ,"270. Airgram 295 From the Embassy in                                 Lebanon to the Department of State,                             July 2, 1970 ",17,0
frus1969-76ve04d271,271. Intelligence Note RNAN Prepared in the Bureau of Intelligence and                                 Research  ,271. Intelligence Note RNAN Prepared in the Bureau of Intelligence and                                 Research  ,"271. Intelligence Note RNAN, Prepared in the Bureau of Intelligence                             and Research, Washington, July 16, 1970  ",35,0
frus1969-76ve04d272,272. Telegram 128256 From the Department of                                 State to the Embassy in France  ,272. Telegram 128256 From the Department of                                 State to the Embassy in France  ,"272. Telegram 128256 From the Department of                                 State to the Embassy in France,                             August 8, 1970, 0012Z  ",51,0
frus1969-76ve04d273,273. Central Intelligence Agency Information Cable IN 143628  ,273. Central Intelligence Agency Information Cable IN 143628  ,"273. Central Intelligence Agency Information Cable IN 143628,                             Washington, August 10, 1970  ",57,0
frus1969-76ve04d274,274. Telegram 4546 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,274. Telegram 4546 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,"274. Telegram 4546 From the Embassy in                                 Moscow to the Department of                             State,August 13, 1970, 1530Z  ",40,0
frus1969-76ve04d275,275. Central Intelligence Agency Information Cable  ,275. Central Intelligence Agency Information Cable  ,"275. Central Intelligence Agency Information Cable, Washington, August                             24, 1970  ",57,0
frus1969-76ve04d276,276. Central Intelligence Agency Information Cable IN 152111  ,276. Central Intelligence Agency Information Cable IN 152111  ,"276. Central Intelligence Agency Information Cable IN 152111,                             Washington, August 28, 1970  ",57,0
frus1969-76ve04d277,277. Airgram 477 From the Embassy in                                 Belgium to the Department of                                 State  ,277. Airgram 477 From the Embassy in                                 Belgium to the Department of                                 State  ,"277. Airgram 477 From the Embassy in                                 Belgium to the Department of State,                             October 16, 1970  ",20,0
frus1969-76ve04d278,278. Telegram 9048 From the Embassy in                                 Lebanon to the Department of                                 State  ,278. Telegram 9048 From the Embassy in                                 Lebanon to the Department of                                 State  ,"278. Telegram 9048 From the Embassy in                                 Lebanon to the Department of State,                             October 16, 1970, 1730Z  ",26,0
frus1969-76ve04d279,279. Telegram 76 From the Embassy in Iran                             to the Department of State  ,279. Telegram 76 From the Embassy in Iran                             to the Department of State  ,"279. Telegram 76 From the Embassy in Iran                             to the Department of State, January 6, 1971,                                 1300Z  ",56,0
frus1969-76ve04d280,280. Telegram 36204 From the Department of                                 State to the Embassy in Nepal  ,280. Telegram 36204 From the Department of                                 State to the Embassy in Nepal  ,"280. Telegram 36204 From the Department of                                 State to the Embassy in Nepal,                             March 4, 1971, 0124Z  ",50,0
frus1969-76ve04d281,281. Airgram A–82 From the Embassy in                                 Lebanon to the Department of                                 State  ,281. Airgram A–82 From the Embassy in                                 Lebanon to the Department of                                 State  ,"281. Airgram A–82 From the Embassy in                                 Lebanon to the Department of State,                             March 16, 1971  ",19,0
frus1969-76ve04d282,282. Telegram 47357 From the Department of                                 State to the Embassy in                                 Belgium  ,282. Telegram 47357 From the Department of                                 State to the Embassy in                                 Belgium  ,"282. Telegram 47357 From the Department of                                 State to the Embassy in Belgium,                             March 20, 1971, 0249Z  ",27,0
frus1969-76ve04d283,283. Telegram 1098 From the Mission to                                 Geneva to the Department of                                 State  ,283. Telegram 1098 From the Mission to                                 Geneva to the Department of                                 State  ,"283. Telegram 1098 From the Mission to                                 Geneva to the Department of State,                             March 25, 1971, 1630Z  ",24,0
frus1969-76ve04d284,"284. Telegram 54497 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, the Netherlands, Spain, Italy, and                                 Switzerland  ","284. Telegram 54497 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, the Netherlands, Spain, Italy, and                                 Switzerland  ","284. Telegram 54497 From the Department of                                 State to the Embassies in the United                                 Kingdom, France, the Netherlands, Spain, Italy, and                             Switzerland, April 1, 1971, 0118Z  ",26,0
frus1969-76ve04d285,"285. Telegram 63120 From the Department of                                 State to the Embassies in the United                                 Kingdom, Libya, Iran, Kuwait, Saudi Arabia, Lebanon, France,                             The Hague, and Austria and the Consulate in Saudi Arabia  ","285. Telegram 63120 From the Department of                                 State to the Embassies in the United                                 Kingdom, Libya, Iran, Kuwait, Saudi Arabia, Lebanon, France,                             The Hague, and Austria and the Consulate in Saudi Arabia  ","285. Telegram 63120 From the Department of                                 State to the Embassies in the United                                 Kingdom, Libya, Iran, Kuwait, Saudi Arabia, Lebanon, France,                             the Hague, and Austria and the Consulate in Saudi Arabia, April 14,                             1971, 2225Z  ",52,0
frus1969-76ve04d286,"286. Telegram 67409 From the Department of                                 State to the Embassies in Jordan,                             Lebanon, Belgium, Saudi Arabia, Kuwait, the United Kingdom, Iran, the                             Soviet Union, and the Interests Section in Cairo  ","286. Telegram 67409 From the Department of                                 State to the Embassies in Jordan,                             Lebanon, Belgium, Saudi Arabia, Kuwait, the United Kingdom, Iran, the                             Soviet Union, and the Interests Section in Cairo  ","286. Telegram 67409 From the Department of                                 State to the Embassies in Jordan,                             Lebanon, Belgium, Saudi Arabia, Kuwait, the United Kingdom, Iran, the                             Soviet Union, and the Interests Section in Cairo, April 21, 1971,                                 0116Z  ",55,0
frus1969-76ve04d287,287. Telegram 77002 From the Department of                                 State to the Embassies in the United                                 Kingdom and Lebanon  ,287. Telegram 77002 From the Department of                                 State to the Embassies in the United                                 Kingdom and Lebanon  ,"287. Telegram 77002 From the Department of                                 State to the Embassies in the United                                 Kingdom and Lebanon, May 4, 1971, 2205Z  ",20,0
frus1969-76ve04d288,288. Telegram 1302 From the Mission to                                 Geneva to the Department of                                 State  ,288. Telegram 1302 From the Mission to                                 Geneva to the Department of                                 State  ,"288. Telegram 1302 From the Mission to                                 Geneva to the Department of State,                             May 18, 1971, 1515Z  ",22,0
frus1969-76ve04d289,"289. Memorandum from the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco)  ","289. Memorandum from the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary of State for Near                             Eastern and South Asian Affairs (Sisco)  ","289. Memorandum from the Country Director for Lebanon, Jordan, the                             Syrian Arab Republic, and Iraq (Seelye) to the Assistant Secretary for Near Eastern and                             South Asian Affairs (Sisco), Washington, May 20, 1971  ",52,0
frus1969-76ve04d290,290. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger)  ,290. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger)  ,"290. Memorandum From the Executive Secretary of the Department of                             State (Eliot) to the                             President’s Assistant for National Security Affairs (Kissinger), Washington, May                             21, 1971  ",54,0
frus1969-76ve04d291,291. Telegram 92470 From the Department of                                 State to the Embassy in                                 Belgium  ,291. Telegram 92470 From the Department of                                 State to the Embassy in                                 Belgium  ,"291. Telegram 92470 From the Department of                                 State to the Embassy in Belgium,                             May 26, 1971, 2123Z  ",25,0
frus1969-76ve04d292,292. Airgram 222 From the Embassy in                                 Lebanon to the Department of                                 State  ,292. Airgram 222 From the Embassy in                                 Lebanon to the Department of                                 State  ,"292. Airgram 222 From the Embassy in                                 Lebanon to the Department of State,                             July 16, 1971  ",18,0
frus1969-76ve04d293,293. Telegram 9689 From the Embassy in                                 Lebanon to the Department of                                 State  ,293. Telegram 9689 From the Embassy in                                 Lebanon to the Department of                                 State  ,"293. Telegram 9689 From the Embassy in                                 Lebanon to the Department of State,                             November 3, 1971, 1520Z  ",26,0
frus1969-76ve04d294,294. Telegram 213299 From the Department of                                 State to the Embassy in Iran  ,294. Telegram 213299 From the Department of                                 State to the Embassy in Iran  ,"294. Telegram 213299 From the Department of                                 State to the Embassy in Iran,                             November 24, 1971, 1758Z  ",54,0
frus1969-76ve04d295,"295. Telegram 12737 From the Department of                                 State to the Embassies in Iran, the                             United Kingdom, and the Soviet Union  ","295. Telegram 12737 From the Department of                                 State to the Embassies in Iran, the                             United Kingdom, and the Soviet Union  ","295. Telegram 12737 From the Department of                                 State to the Embassies in Iran, the                             United Kingdom, and the Soviet Union, January 22, 1972, 0231Z  ",25,0
frus1969-76ve04d296,296. Telegram 16061 From the Department of                                 State to the Embassy in                                 Belgium  ,296. Telegram 16061 From the Department of                                 State to the Embassy in                                 Belgium  ,"296. Telegram 16061 From the Department of                                 State to the Embassy in Belgium,                             January 28, 1972, 1659Z  ",29,0
frus1969-76ve04d297,297. Airgram A-38 From the Embassy in                                 Lebanon to the Department of                                 State  ,297. Airgram A-38 From the Embassy in                                 Lebanon to the Department of                                 State  ,"297. Airgram A-38 From the Embassy in                                 Lebanon to the Department of State,                             February 2, 1972  ",21,0
frus1969-76ve04d298,298. Telegram 1501 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,298. Telegram 1501 From the Embassy in the Soviet                                 Union to the Department of                                 State  ,"298. Telegram 1501 From the Embassy in the Soviet                                 Union to the Department of State,                             February 18, 1972, 1351Z  ",27,0
